URL,Melting Point
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/440968/xml?heading=Melting+Point,-60.49999999999999 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/440968/xml?heading=Melting+Point,-62°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/440968/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/24764/xml?heading=Melting+Point,-66.0 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/24764/xml?heading=Melting+Point,-66 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/24764/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/2776731/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/323/xml?heading=Melting+Point,"154 to 158 °F (NTP, 1992)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/323/xml?heading=Melting+Point,71.0 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/323/xml?heading=Melting+Point,71 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/323/xml?heading=Melting+Point,71°C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/323/xml?heading=Melting+Point,68-70 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/323/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22311/xml?heading=Melting+Point,"-40 °F (USCG, 1999)"
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22311/xml?heading=Melting+Point,-86.4333333333 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22311/xml?heading=Melting+Point,-95.5 °C
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22311/xml?heading=Melting+Point,-40°F
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22311/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22151/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/82938/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/22866/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/247573/xml?heading=Melting+Point,NaN
https://pubchem.ncbi.nlm.nih.gov/rest/pug_view/data/compound/16686005/xml?heading=Melting+Point,NaN
