0,1,2,3
,hydrogen fluoride,1.3×102,Fredenhagen and Wellmann (1932a) M
,HF,,Brimblecombe and Clegg (1989) T 45
,[7664-39-3],,Brimblecombe and Clegg (1988) T 42
,difluorine monoxide,2.9×10−5,Kruis and May (1962) C
,F2O,,
,[7783-41-7],,
,nitrogen trifluoride,7.9 ×10−6,1900 Sander et al. (2011) L
,NF3,7.9 ×10−6,1900 Wilhelm et al. (1977) L
,[7783-54-2],8.2 ×10−6,1900 Ashton et al. (1968) M
,dinitrogen tetrafluoride,8.4 10−6×,2500 Sander et al. (2011) L
,N2F4,8.4×10−6,2500 Wilhelm et al. (1977) L
,(tetrafluorohydrazine),,
,[10036-47-2],,
,,C,hlorine (Cl)
,chlorine (molecular),9.2 ×10−4,2000 Sander et al. (2011) L
,Cl2,9.2×10−4,2000 Sander et al. (2006) L
,[7782-50-5],9.0×10−4,2500 Wilhelm et al. (1977) L
,,3.8 10−2×,3100 Martikainen et al. (1987) M 46
,,7.5×10−4,Lin and Pehkonen (1998) R
,,6.1×10−4,3200 Brian et al. (1962) R
,,6.1×10−4,2800 Wagman et al. (1982) T
,,9.3 10−4×,2100 Young (1983) X 5
,,9.1 ×10−4,"Bartlett and Margerum (1999) ? 7, 47"
,,9.2 10−4×,2300 Dean (1992) ? 6
,,,Kruis and May (1962) ? 48
,chlorine atom,2.3 10−2×,Sander et al. (2011) L
,Cl,2.3×10−2,Sander et al. (2006) L
,[22537-15-1],2.0 10−3×,Mozurkewich (1986) T 49
,,1.5×10−4,1500 Berdnikov and Bazhin (1970) T 11
,hydrogen chloride,,Clegg and Brimblecombe (1986) L 50
,HCl,1.5×101,Chen et al. (1979) R
,[7647-01-0],,Carslaw et al. (1995) T 51
,,,Brimblecombe and Clegg (1989) T 52
,,,Brimblecombe and Clegg (1988) T 42
,,1.1×10−2,2300 Marsh and McElroy (1985) T
,,,Wagman et al. (1982) T 53
,,2.0×10−1,Graedel and Goldberg (1983) C
,,,Seinfeld and Pandis (1998) ? 35
,,1.9 10−1×,600 Dean (1992) ? 6
,,2.5 ×101,Seinfeld (1986) ? 7
,,7.2,2000 Pandis and Seinfeld (1989) W 54
,hypochlorous acid,6.5,5900 Sander et al. (2011) L
,HOCl,6.5,5900 Sander et al. (2006) L
,[7790-92-3],6.5,5900 Huthwelker et al. (1995) L
,,9.1,Blatchley III et al. (1992) M 9
,,4.7,1600 Hanson and Ravishankara (1991) M 55
,,6.0,4900 Holzwarth et al. (1984) M 56
,,2.6,5100 Wagman et al. (1982) T
,,5.4,Hilal et al. (2008) Q
,perchloric acid,9.9×103,Jaeglé et al. (1996) E 57
,HClO4,,
,[7601-90-3],,
,monochlorine monoxide,7.0 10−3×,Sander et al. (2011) L
,ClO,7.0×10−3,Sander et al. (2006) L
,[14989-30-1],,
,dichlorine monoxide,1.7 10−1×,1800 Sander et al. (2011) L
,Cl2O,1.7×10−1,1800 Sander et al. (2006) L
,[7791-21-1],1.7 10−1×,1800 Wilhelm et al. (1977) L
,,1.7 ×10−1,1700 Young (1983) X 5
,chlorine dioxide,1.0×10,3500 Sander et al. (2011) L
,ClO2,1.0×10−2,3500 Sander et al. (2006) L
,[10049-04-4],1.0 ×10−2,3300 Wilhelm et al. (1977) L
,,1.0 10−2×,3300 Young (1983) X 3
,,9.9 10−3×,"3300 Young (1983) X 5, 24"
,nitrosyl chloride,>4.9×10−4,Scheer et al. (1997) M
,NOCl,,
,[2696-92-6],,
,nitryl chloride,4.5 10−4×,Frenzel et al. (1998) E
,ClNO2,2.4×10−4,Behnke et al. (1997) E 58
,[13444-90-1],3.9 10−4×,Roberts et al. (2008) ?
,chlorine nitrate,∞,Sander and Crutzen (1996) E 37
,ClNO3,,
,[14545-72-3],,
,chloramine,8.6 ×10−1,6000 Sander et al. (2011) L
,NH2Cl,8.6×10−1,6000 Sander et al. (2006) L
,(chloramide),9.2 10−1×,4800 Holzwarth et al. (1984) M
,[10599-90-3],,
,dichloramine,2.9 10−1×,4200 Sander et al. (2011) L
,NHCl2,2.9×10−1,4200 Sander et al. (2006) L
,(chlorimide),2.8 ×10−1,4200 Holzwarth et al. (1984) M
,[3400-09-7],,
,nitrogen trichloride,9.9×10−4,4100 Sander et al. (2011) L
,NCl3,9.9 ×10−4,4100 Sander et al. (2006) L
,[10025-85-1],9.9×10−4,4100 Holzwarth et al. (1984) M
,,B,romine (Br)
,bromine (molecular),7.2 10−3×,4400 Sander et al. (2011) L
,Br2,7.2 ×10−3,4400 Sander et al. (2006) L
,[7726-95-6],1.8×10−2,3600 Dubik et al. (1987) M 59
,,6.8 10−3×,Hill et al. (1968) M
,,9.6 ×10−3,Jenkins and King (1965) M 9
,,7.0×10−3,4100 Kelley and Tartar (1956) M
,,7.8×10−3,3800 Winkler (1906) M
,,7.9 10−3×,3600 Winkler (1899) M
,,8.3×10−3,4100 Fogg and Sangster (2003) V
,,7.9×10−3,3900 Jenkins and King (1965) R
,,7.2 ×10−3,4000 Wagman et al. (1982) T
,,7.6 10−3×,"Bartlett and Margerum (1999) ? 7, 47"
,,7.5×10−3,4100 Dean (1992) ? 6
,bromine atom,1.2×10−2,Mozurkewich (1986) T 49
,Br,3.4×10−4,1800 Berdnikov and Bazhin (1970) T 11
,[10097-32-2],,
,hydrogen bromide,,Carslaw et al. (1995) T 60
,HBr,,Brimblecombe and Clegg (1989) T 61
,[10035-10-6],,Brimblecombe and Clegg (1988) T 42
,,,Wagman et al. (1982) T 62
,,,Chameides and Stelson (1992) ? 63
,,2.4×10−1,370 Dean (1992) ? 6
,hypobromous acid,>1.3,Sander et al. (2011) L
,HOBr,>1.3,Sander et al. (2006) L
,[13517-11-8],>1.9×101,Blatchley III et al. (1992) M 9
,,1.8 ×10−2,4000 Mozurkewich (1995) T 64
,,6.0 ×101,Frenzel et al. (1998) E
,,9.1 10−1×,Vogt et al. (1996) E
,,,Fickert (1998) W 65
,nitryl bromide,3.0 ×10−3,Frenzel et al. (1998) E
,BrNO2,,
,[13536-70-4],,
,bromine nitrate,∞,Sander and Crutzen (1996) E 37
,BrNO3,,
,[40423-14-1],,
,bromine chloride,9.7 ×10−3,5600 Sander et al. (2011) L
,BrCl,9.7×10−3,5600 Sander et al. (2006) L
,[13863-41-7],<6.2 10−2×,Katrib et al. (2001) M 66
,,1.5×10−2,Disselkamp et al. (1999) M 67
,,9.3 10−3×,5600 Bartlett and Margerum (1999) M
,,4.2×10−2,4000 Dubik et al. (1987) M 59
,,1.1 ×10−2,this work T 68
,,5.8×10−3,Frenzel et al. (1998) E
,,,Iodine (I)
,iodine (molecular),2.8×10−2,4300 Eguchi et al. (1973) M
,I2,2.8 ×10−2,3900 Fogg and Sangster (2003) V
,[7553-56-2],3.0×10−2,4400 Palmer et al. (1985) R
,,3.1 10−2×,4600 Berdnikov and Bazhin (1970) R
,,3.2 ×10−2,4800 Wagman et al. (1982) T
,,1.1×10−2,Thompson and Zafiriou (1983) C 69
,iodine atom,7.9×10−4,Mozurkewich (1986) T 70
,I,6.2 ×10−5,2300 Berdnikov and Bazhin (1970) T 11
,[14362-44-8],,
,hydrogen iodide,,Brimblecombe and Clegg (1989) T 71
,HI,,Brimblecombe and Clegg (1988) T 42
,[10034-85-2],,Wagman et al. (1982) T 72
,hypoiodous acid,>4.1,Palmer et al. (1985) C
,HOI,,Thompson and Zafiriou (1983) E 73
,[14332-21-9],,
,iodine chloride,1.1,Wagman et al. (1982) T
,ICl,,
,[7790-99-0],,
,iodine bromide,2.4 10−1×,Wagman et al. (1982) T
,IBr,,
,[7789-33-5],,
,,,Sulfur (S)
,hydrogen sulfide,1.0×10−3,2100 Sander et al. (2011) L
,H2S,1.0×10−3,2100 Sander et al. (2006) L
,[7783-06-4],1.0 10−3×,2000 Fernández-Prini et al. (2003) L 1
,,1.0×10−3,2200 Carroll and Mather (1989) L
,,1.0 10−3×,2000 Yoo et al. (1986) L
,,1.0 10−3×,2100 Edwards et al. (1978) L
,,1.0 10−3×,2100 Wilhelm et al. (1977) L
,,9.1×10−4,1700 Rinker and Sandall (2000) M
