CID,Melting Point,InChIKey
8489,46.0,KMAQZIILEGKYQZ-UHFFFAOYSA-N
7122,56.0,XSAYZAUNJMRRIR-UHFFFAOYSA-N
6564,-100.0,KNKRKFALVUDBJE-UHFFFAOYSA-N
7670,-63.5,OJGMBLNIHDZDGS-UHFFFAOYSA-N
7256,-15.2,WYUIWKFIFOJVKW-UHFFFAOYSA-N
8255,-140.4,VQTUBCCKSQIDNK-UHFFFAOYSA-N
11568,123.0,CWLKGDAVCFYWJK-UHFFFAOYSA-N
135400189,192.0,SECKRCOLJRRGGV-UHFFFAOYSA-N
8368,25.8,DMEDNTFWIHCBRK-UHFFFAOYSA-N
13246,59.0,SXVPOSFURRDKBO-UHFFFAOYSA-N
7719,-76.0,LTHNHFOGQMKPOV-UHFFFAOYSA-N
7255,26.0,RQKFYFNZSHWXAW-UHFFFAOYSA-N
5281670,303.5,YXOLAZRVSSWPPT-UHFFFAOYSA-N
7254,-13.5,FUNUTBJJKQIVSY-UHFFFAOYSA-N
33637,-34.1,DTFKRVXLBCAIOZ-UHFFFAOYSA-N
12163,95.0,GJNGXPDXRVXSEH-UHFFFAOYSA-N
7474,83.5,CZGCEKJOLUNIFY-UHFFFAOYSA-N
16387,226.28,XOJWAAUYNWGQAU-UHFFFAOYSA-N
31217,3.5,FQYUMYWMJTYZTK-UHFFFAOYSA-N
2266,106.5,BDJRBEYXGGNYIS-UHFFFAOYSA-N
19347555,106.5,BDJRBEYXGGNYIS-UHFFFAOYSA-N
700999,154.5,FCSHMCFRCYZTRQ-UHFFFAOYSA-N
7840,-110.0,CYNYIHKIEHGYOZ-UHFFFAOYSA-N
7015,51.0,TWBPWBPGNQWFSJ-UHFFFAOYSA-N
14106,312.5,PXGZQGDTEZPERC-UHFFFAOYSA-N
3102,47.8,RWCCWEUUXYIKHB-UHFFFAOYSA-N
8680,-82.7,ZJMWRROPUADPEA-UHFFFAOYSA-N
9964,38.0,ODGIMMLDVSWADK-UHFFFAOYSA-N
73864,162.0,ZFVMWEVVKGLCIJ-UHFFFAOYSA-N
13663,34.0,QQLIGMASAVJVON-UHFFFAOYSA-N
7732,57.2,BHAAPTBBJKJZER-UHFFFAOYSA-N
6276,-78.9,AMQJEAYHLZJPGS-UHFFFAOYSA-N
7447,118.0,NIPDVSLAMPAWTP-UHFFFAOYSA-N
78993,-9.0,JILAKKYYZPDQBE-UHFFFAOYSA-N
6929,140.0,HNURKXXMYARGAY-UHFFFAOYSA-N
12819,83.0,NTCCNERMXRIPTR-UHFFFAOYSA-N
5280970,-50.0,UOORRWUZONOOLO-UPHRSURJSA-N
216239,205.6,MLDQJTXFUGDVEO-UHFFFAOYSA-N
6348,-111.5,QGJOPFRUJISHPQ-UHFFFAOYSA-N
7150,-15.0,QPJVMBTYPHYUOC-UHFFFAOYSA-N
3672,76.0,HEFNNWSXXWATRW-UHFFFAOYSA-N
13263,88.0,RQVYBGPQFYCBGX-UHFFFAOYSA-N
5798,170.5,HYZJCKYKOHLVJF-UHFFFAOYSA-N
7956,360.0,ZFSLODLOARCGLH-UHFFFAOYSA-N
7977,-46.5,OKDGRDCXVWSXDC-UHFFFAOYSA-N
66,59.0,RANCECPPZPIPNO-UHFFFAOYSA-N
31218,-48.0,VJHINFRRDQUWOJ-UHFFFAOYSA-N
14806,1974.0,XLOMVQKBTHCTTD-UHFFFAOYSA-N
23982,1313.0,UIWYJDYFSGRHKR-UHFFFAOYSA-N
7868,-93.5,FXNDIJDIPNCZQJ-UHFFFAOYSA-N
15324,179.0,CJZGTCYPCWQAJB-UHFFFAOYSA-L
8342,195.0,SVPKNMBRVBMTLB-UHFFFAOYSA-N
8167,-15.0,NUPSHWCALHZGOV-UHFFFAOYSA-N
9635,14.2,BOSAWIQFTJIYIS-UHFFFAOYSA-N
8371,290.0,UGNWTBMOAKPKBL-UHFFFAOYSA-N
18827,175.0,VSMOENVRRABVKN-UHFFFAOYSA-N
8302,-156.5,HCDGVLDPFQMKDK-UHFFFAOYSA-N
6388,-130.8,BHNZEZWIUMJCGF-UHFFFAOYSA-N
