Species,InChIKey,Hcp
3-ethyloctane,OEYGTUAKNZFCDJ-UHFFFAOYSA-N,2.2e-06
4-ethyloctane,NRJUFUBKIFIKFI-UHFFFAOYSA-N,2.4e-06
"2,2,3-trimethylheptane",ACYHSTUWOQNWCX-UHFFFAOYSA-N,1.6e-06
"2,2,4-trimethylheptane",IIYGOARYARWJBO-UHFFFAOYSA-N,1.6e-06
"2,2,5-trimethylheptane",GZJFAWOTMWATOS-UHFFFAOYSA-N,1.6e-06
"2,2,6-trimethylheptane",FHJCGIUZJXWNET-UHFFFAOYSA-N,1.7e-06
"2,3,3-trimethylheptane",QACXEXNKLFWKLK-UHFFFAOYSA-N,1.6e-06
"2,3,4-trimethylheptane",UVVYAKOLFKEZEE-UHFFFAOYSA-N,1.6e-06
"2,3,5-trimethylheptane",YKPNYFKOKKKGNM-UHFFFAOYSA-N,1.1e-06
"2,3,6-trimethylheptane",IHPXJGBVRWFEJB-UHFFFAOYSA-N,1.1e-06
"2,4,4-trimethylheptane",QALGVLROELGEEM-UHFFFAOYSA-N,1.1e-06
"2,4,5-trimethylheptane",YMBNRMDSLJNNPF-UHFFFAOYSA-N,1.1e-06
"2,4,6-trimethylheptane",YNLBBDHDNIXQNL-UHFFFAOYSA-N,7.5e-07
"2,5,5-trimethylheptane",SOYLPZSOEXZMLE-UHFFFAOYSA-N,1.1e-06
"3,3,4-trimethylheptane",WRBHKVWLEIYLDZ-UHFFFAOYSA-N,1.9e-06
"3,3,5-trimethylheptane",VRVRZZWPKABUOE-UHFFFAOYSA-N,1.2e-06
"3,4,4-trimethylheptane",BLNBSBLKPFFJKQ-UHFFFAOYSA-N,1.9e-06
"3,4,5-trimethylheptane",LJIIBBYARMPSMT-UHFFFAOYSA-N,2.3e-06
3-ethyl-2-methylheptane,NKMJCVVUYDKHAV-UHFFFAOYSA-N,2e-06
4-ethyl-2-methylheptane,OJDKRASKNKPYDH-UHFFFAOYSA-N,1.4e-06
5-ethyl-2-methylheptane,DGEMPTLPTFNEHJ-UHFFFAOYSA-N,1.4e-06
3-ethyl-3-methylheptane,HSOMNBKXPGCNBH-UHFFFAOYSA-N,2.2e-06
4-ethyl-3-methylheptane,BTGGSWBKRYMHQK-UHFFFAOYSA-N,2.2e-06
3-ethyl-5-methylheptane,VXARVYMIZCGZGG-UHFFFAOYSA-N,1.3e-06
3-ethyl-4-methylheptane,JZBKRUIGSVOOIC-UHFFFAOYSA-N,2.2e-06
4-ethyl-4-methylheptane,MPYQJQDSICRCJJ-UHFFFAOYSA-N,2.4e-06
4-propylheptane,ABYGSZMCWVXFCQ-UHFFFAOYSA-N,1.6e-06
4-(1-methylethyl)-heptane,AZLAWGCUDHUQDB-UHFFFAOYSA-N,2.1e-06
"2,2,3,3-tetramethylhexane",RMQHJMMCLSJULX-UHFFFAOYSA-N,1.8e-06
"2,2,3,4-tetramethylhexane",MHPSPNGWFAGBNH-UHFFFAOYSA-N,1.2e-06
