Species,InChIKey,Hcp
"2,4,4-trimethylhexane",SVEMKBCPZYWEPH-UHFFFAOYSA-N,1.4E-06
"3,3,4-trimethylhexane",ARWOOWBJJKVYOV-UHFFFAOYSA-N,2.9E-06
3-ethyl-2-methylhexane,MVLOWDRGPHBNNF-UHFFFAOYSA-N,2.3E-06
4-ethyl-2-methylhexane,KYCZJIBOPKRSOV-UHFFFAOYSA-N,1.5E-06
3-ethyl-3-methylhexane,CYWROHZCELEGSE-UHFFFAOYSA-N,3.2E-06
3-ethyl-4-methylhexane,OKCRKWVABWILDR-UHFFFAOYSA-N,3.1E-06
"2,2,3,3-tetramethylpentane",QUKOJKFJIHSBKV-UHFFFAOYSA-N,3.6E-06
"2,2,3,4-tetramethylpentane",VZFMYOCAEQDWDY-UHFFFAOYSA-N,1.9E-06
"2,2,4,4-tetramethylpentane",GUMULFRCHLJNDY-UHFFFAOYSA-N,9.0E-07
"2,3,3,4-tetramethylpentane",JLCYYQOQSAMWTA-UHFFFAOYSA-N,2.7E-06
"3-ethyl-2,2-dimethylpentane",CLZCPQKGOAXOJT-UHFFFAOYSA-N,1.9E-06
"3-ethyl-2,3-dimethylpentane",MMASVVOQIKCFJZ-UHFFFAOYSA-N,3.5E-06
"3-ethyl-2,4-dimethylpentane",VLHAGZNBWKUMRW-UHFFFAOYSA-N,1.9E-06
"3,3-diethylpentane",BGXXXYLRPIRDHJ-UHFFFAOYSA-N,4.1E-06
decane,DIOQZVSQGTUSAI-UHFFFAOYSA-N,1.4E-06
2-methylnonane,SGVYKUFIHHTIFL-UHFFFAOYSA-N,1.5E-06
3-methylnonane,PLZDDPSCZHRBOY-UHFFFAOYSA-N,1.7E-06
4-methylnonane,IALRSQMWHFKJJA-UHFFFAOYSA-N,1.6E-06
5-methylnonane,TYSIILFJZXHVPU-UHFFFAOYSA-N,1.7E-06
"2,2-dimethyloctane",GPBUTTSWJNPYJL-UHFFFAOYSA-N,1.3E-06
