Species,InChIKey,Hcp
fenchlorazole-ethyl,GMBRUAIJEFRHFQ-UHFFFAOYSA-N,2.7E+03
vinclozoline,FSCWZHGZWWDELK-UHFFFAOYSA-N,5.8E+02
forchlorfenuron,GPXLRLUVLMHHIK-UHFFFAOYSA-N,3.5E+06
myclozolin,FTCOKXNKPOUEFH-UHFFFAOYSA-N,3.7E+02
clofencet,PIZCXVUFSNPNON-UHFFFAOYSA-N,1.9E+08
chlozolinate,IGUYEXXAGBDLLX-UHFFFAOYSA-N,4.4E+02
monalide,KXGYBSNVFXBPNO-UHFFFAOYSA-N,4.0E+02
etaconazole,DWRKFAJEBUWTQM-UHFFFAOYSA-N,7.9E+03
triadimenol,BAZVSMNPJJMILC-UHFFFAOYSA-N,7.6E+06
triadimefon,WURBVZBTWMNKQT-UHFFFAOYSA-N,1.2E+05
imazalil,PZBPKYOVPCNPJY-UHFFFAOYSA-N,3.8E+03
propiconazole,STJLVHWMYQXCPB-UHFFFAOYSA-N,1.1E+04
clonazepam,DGBIGWXXNGSACT-UHFFFAOYSA-N,1.4E+07
oxazepam,ADIMAYPTOBDMTL-UHFFFAOYSA-N,1.8E+04
oxadiazon,CHNUNORXWHYHNE-UHFFFAOYSA-N,1.4E+02
cyproconazole,UFNOUKDBUJZYDE-UHFFFAOYSA-N,1.4E+04
diclobutrazol,URDNHJIVMYZFRT-UHFFFAOYSA-N,8.0E+03
diazepam,AAOVKJBEBIDNHE-UHFFFAOYSA-N,2.7E+03
bendamustine,YTKUWDBFDASYHO-UHFFFAOYSA-N,2.5E+07
piperalin,BZGLBXYQOMFXAU-UHFFFAOYSA-N,4.3E+02
tebuconazole,PXMNMQRDXWABCY-UHFFFAOYSA-N,7.0E+04
fenarimol,NHOWDZOIZKMVAI-UHFFFAOYSA-N,1.4E+03
triticonazole,PPDBOQMNKNNODG-ZROIWOOFSA-N,6.6E+04
boscalid,WYEMLYFITZORAB-UHFFFAOYSA-N,1.9E+04
tebufenpyrad,ZZYSLNWGKKDOML-UHFFFAOYSA-N,8.2E+02
"8,9,10,11-tetrachloro-12-phthaloperinone",UBZVRROHBDDCQY-UHFFFAOYSA-N,4.8E+05
pigment red 254,JNNHVXMCVRYTTN-UHFFFAOYSA-N,3.4E+09
quizalofop ethyl,OSUHJPCHFDQAIT-UHFFFAOYSA-N,9.0E+02
pyraclostrobine,HZRSNVGNWUDEFX-UHFFFAOYSA-N,1.9E+05
ponsol red violet 2rnx,SQAQTWYUQXFOMH-UHFFFAOYSA-N,2.4E+10
dimethomorph,QNBTYORWCCMPQP-JXAWBTAJSA-N,9.9E+09
aripiprazole,CEUORZQYGODEFX-UHFFFAOYSA-N,9.9E+11
ag-g-86814,ZEHOVWPIGREOPO-UHFFFAOYSA-N,1.8E+14
"8,18-dichloro-5,15-diethyl-5,15-dihydrodiindolo(3,2-b:3',2'-m)triphenodioxazine",CGLVZFOCZLHKOH-UHFFFAOYSA-N,8.0E+06
fluoroethene,XUCNUKMRBVNAPB-UHFFFAOYSA-N,8.2E-05
"1,2-difluoroethane",AHFMSNDOYCFEPH-UHFFFAOYSA-N,2.5E-05
trifluoroethene,MIZLGWKEZAPEFJ-UHFFFAOYSA-N,2.3E-05
"3,3,3-trifluoropropene",FDMFUZHCIRHGRG-UHFFFAOYSA-N,1.3E-05
"1,1,3,3,3-pentafluoro-2-(trifluoromethyl)-1-propene",DAFIBNSJXIGBQB-UHFFFAOYSA-N,2.9E-07
decafluorobutane,KAVGMUDTWQVPDF-UHFFFAOYSA-N,1.5E-08
tetradecafluorohexane,ZJIJAJXFLBMLCK-UHFFFAOYSA-N,5.4E-10
"1,1,1,3,3,3-hexafluoro-2-propanone",VBZWSGALLODQNC-UHFFFAOYSA-N,3.2E-03
desflurane,DPYMFVXJLLWWEU-UHFFFAOYSA-N,1.4E-04
sevoflurane,DFEYYRMXOJXZRJ-UHFFFAOYSA-N,5.2E-05
metofluthrin,KVIZNNVXXNFLMU-AATRIKPKSA-N,1.0E+00
fluoxymesterone,YLRFCQOZQXIBAB-YXVJBPKESA-N,1.6E+04
dexamethasone,UREBDLICKHMUKA-GCMAGEFQSA-N,1.4E+02
flocoumafen,KKBGNYHHEIAGOH-UHFFFAOYSA-N,1.4E+07
chlorofluoromethane,XWCDCDSDNJVCLO-UHFFFAOYSA-N,1.5E-03
chlorodifluoromethane,VOPWNXZWBYDODV-UHFFFAOYSA-N,3.4E-04
dichlorofluoromethane,UMNKXPULIDJLSU-UHFFFAOYSA-N,9.1E-04
chlorotrifluoromethane,AFYPFACVUDMOHA-UHFFFAOYSA-N,9.9E-06
dichlorodifluoromethane,PXBRQCKWGAHEHS-UHFFFAOYSA-N,3.0E-05
trichlorofluoromethane,CYRMSUTZVYGINF-UHFFFAOYSA-N,1.1E-04
"1,1,1,2-tetrachlorodifluoroethane",SLGOCMATMKJJCE-UHFFFAOYSA-N,6.2E-05
"1,1,2,2-tetrachlorodifluoroethane",UGCSPKPEHQEOSR-UHFFFAOYSA-N,9.0E-05
"1,1,1-trichloro-2,2,2-trifluoroethane",BOSAWIQFTJIYIS-UHFFFAOYSA-N,3.7E-05
"1,1,2-trichloro-1,2,2-trifluoroethane",AJDIZQLSFPQPEY-UHFFFAOYSA-N,2.0E-04
"1,1-dichlorotetrafluoroethane",BAMUEXIPKSRTBS-UHFFFAOYSA-N,8.2E-06
"1,2-dichlorotetrafluoroethane",DDMOUSALMHHKOS-UHFFFAOYSA-N,9.0E-06
chloropentafluoroethane,RFCAUADVODFSLZ-UHFFFAOYSA-N,3.4E-06
"1,1,2,2-tetrachloro-1-fluoroethane",LUBCGHUOCJOIJA-UHFFFAOYSA-N,3.3E-03
"1,1-dichloro-1,2,2-trifluoroethane",AFTSHZRGGNMLHC-UHFFFAOYSA-N,1.0E-04
"1,2-dichloro-1,1,2-trifluoroethane",YMRMDGSNYHCUCL-UHFFFAOYSA-N,1.0E-04
"2,2-dichloro-1,1,1-trifluoroethane",OHMHBGPWCHTMQE-UHFFFAOYSA-N,2.3E-04
"1-chloro-1,1,2,2-tetrafluoroethane",JQZFYIGAYWLRCC-UHFFFAOYSA-N,1.8E-05
"1-chloro-1,2,2,2-tetrafluoroethane",BOUGCJDAQLKBQH-UHFFFAOYSA-N,1.1E-04
"1,2-dichloro-1,1-difluoroethane",SKDFWEPBABSFMG-UHFFFAOYSA-N,1.4E-04
"2-chloro-1,1,1-trifluoroethane",CYXIKYKBLDZZNW-UHFFFAOYSA-N,3.7E-04
"1,1-dichloro-1-fluoroethane",FRCHKSNAZZFGCA-UHFFFAOYSA-N,2.9E-04
"1-chloro-1,1-difluoroethane",BHNZEZWIUMJCGF-UHFFFAOYSA-N,1.5E-04
"1-chloro-1,2-difluoroethane",UOVSDUIHNGNMBZ-UHFFFAOYSA-N,infinit
"1-chloro-1,1,2-trifluoroethane",HILNUELUDBMBJQ-UHFFFAOYSA-N,infinit
"2-chloro-1,1-difluoroethene",HTHNTJCVPNKCPZ-UHFFFAOYSA-N,1.7E-04
chlorotrifluoroethene,UUAGAQFQZIEFAH-UHFFFAOYSA-N,3.2E-05
"3,3-dichloro-1,1,1,2,2-pentafluoropropane",COAUHYBSXMIJDK-UHFFFAOYSA-N,9.8E-05
"1,3-dichloro-1,1,2,2,3-pentafluoro-propane",UJIGKESMIPTWJH-UHFFFAOYSA-N,1.1E-04
1-chloro-3-(trifluoromethyl)benzene,YTCGOUNVIAWCMG-UHFFFAOYSA-N,2.9E-04
1-chloro-4-(trifluoromethyl)benzene,QULYNCCPRWKEMF-UHFFFAOYSA-N,2.8E-04
3-chloro-4-fluorobenzotrifluoride,BKHVEYHSOXVAOP-UHFFFAOYSA-N,2.4E-04
"3,4-dichlorobenzotrifluoride",XILPLWOGHPSJBK-UHFFFAOYSA-N,3.8E-04
chlorodifluoroethanoic acid,OAWAZQITIZDJRB-UHFFFAOYSA-N,2.5E+02
carbonic chloride fluoride,OXVVNXMNLYYMOL-UHFFFAOYSA-N,9.9E-02
trifluoroacetylchloride,PNQBEPDZQUOCNY-UHFFFAOYSA-N,2.0E-02
"2,2-dichloro-1,1-difluoro-1-methoxyethane",RFKMCNOHBTXSMU-UHFFFAOYSA-N,2.9E-03
"1-chloro-2,2,2-trifluoroethyl difluoromethyl ether",PIWKPBJCKXDKJR-UHFFFAOYSA-N,2.4E-04
"2-chloro-1,1,2-trifluoroethyl difluoromethyl ether",JPGQOUSTVILISH-UHFFFAOYSA-N,3.0E-04
3-[2-chloro-4-(trifluoromethyl)phenoxy]benzoic acid,ONKRUAQFUNKYAX-UHFFFAOYSA-N,6.4E+02
3-(2-chloro-4-(trifluoromethyl)phenoxy)phenyl acetate,KNFRYRRZMRETJX-UHFFFAOYSA-N,1.1E+00
tefluthrin,ZFHGXWPMULPQSE-GPCIZFCYSA-N,6.2E-03
clobetasol,FCSHDIVRCWTZOX-DVTGEIKXSA-N,6.2E+04
EINECS 273-236-7,KVXVLCBFSKMBAR-UHFFFAOYSA-N,1.5E+14
4-fluoroaniline,KRZCOLNOCZKSDF-UHFFFAOYSA-N,1.6E+00
N-ethyl-1-[3-(trifluoromethyl)phenyl]-2-propanamine,DBGIVFWFUFKIQN-UHFFFAOYSA-N,3.7E-01
cinacalcet,VDHAWDNDOKGFTD-MRXNPFEDSA-N,4.5E+01
hydramethylnon,IQVNEKKDSLOHHK-FNCQTZNRSA-N,4.5E+00
"3,5-dichloro-2,4,6-trifluoropyridine",PKSORSNCSXBXOT-UHFFFAOYSA-N,1.6E+00
chlorodifluoronitrooxymethane,HWHZTSGXJYKIPK-UHFFFAOYSA-N,2.9E-02
1-chloro-2-nitro-4-(trifluoromethyl)-benzene,TZGFQIXRVUHDLE-UHFFFAOYSA-N,7.2E-02
"2-chloro-1,3-dinitro-5-(trifluoromethyl)-benzene",HFHAVERNVFNSHL-UHFFFAOYSA-N,1.8E+01
fluroxypyr,MEFQWPUMEMWTJP-UHFFFAOYSA-N,5.7E+05
norflurazon,NVGOPFQZYCNLDU-UHFFFAOYSA-N,2.9E+04
fluchloralin,MNFMIVVPXOGUMX-UHFFFAOYSA-N,6.6E-01
fluazinam,UZCGKGPEKUCDTF-UHFFFAOYSA-N,3.9E-02
5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrophenol,WYTRKEWETULQOA-UHFFFAOYSA-N,9.9E+00
tetraconazole,LQDARGUHUSPFNL-UHFFFAOYSA-N,2.3E+03
fluopicolide,GBOYJIHYACSLGN-UHFFFAOYSA-N,9.0E+03
difluron,QQQYTWIFVNKMRW-UHFFFAOYSA-N,2.1E+03
efavirenz,XPOQHMRABVBWPR-ZDUSSCGKSA-N,1.4E+03
quinoxyfen,WRPIRSINYZBGPK-UHFFFAOYSA-N,1.0E+03
5-(2-chloro-4-(trifluoromethyl)phenoxy)-2-nitrophenyl acetate,PSWSPFSDVZVVDC-UHFFFAOYSA-N,2.7E+02
oxyfluorfen,OQMBBFQZGJFLBU-UHFFFAOYSA-N,1.2E+01
pyraflufen-ethyl,APTZNLHMIGJTEW-UHFFFAOYSA-N,1.2E+04
carfentrazone ethyl,MLKCGVHIFJBRCD-UHFFFAOYSA-N,3.3E+03
triflumizole,HSMVPDGQOIQYSR-UHFFFAOYSA-N,2.5E+07
"3-(2,4-dichlorophenyl)-6-fluoro-2-(1H-1,2,4-triazol-1-yl)-quinazolin-4(3H)-one",IJJVMEJXYNJXOJ-UHFFFAOYSA-N,5.6E+08
hexaflumuron,RGNPBRKPHBKNKX-UHFFFAOYSA-N,9.9E-01
nuarimol,SAPGTCDSBGMXCD-UHFFFAOYSA-N,1.5E+07
clodinafop-propargyl,JBDHZKLJNAIJNC-LLVKDONJSA-N,3.5E+03
flamprop-methyl,RBNIGDFIUWJJEV-UHFFFAOYSA-N,2.2E+03
pyridalyl,UBSUICNYBBPFHD-UHFFFAOYSA-N,4.9E+06
lactofen,CONWAEURSVPLRM-UHFFFAOYSA-N,2.3E+01
chlorfluazuron,UISUNVFOGSJSKD-UHFFFAOYSA-N,3.9E+08
fluazuron,YOWNVPAUWYHLQX-UHFFFAOYSA-N,2.3E+10
flufenoxuron,RYLHNOVXKPXDIP-UHFFFAOYSA-N,3.8E+06
fluoxastrobin,UFEODZBUAFNAEU-NLRVBDNBSA-N,9.0E+06
haloperidol,LNEPOXFFQSENCJ-UHFFFAOYSA-N,4.3E+08
indoxacarb,VBCVPMMZEGZULK-NRFANRHFSA-N,1.5E+04
cyfluthrin,QQODLKZGRKWIFG-UHFFFAOYSA-N,3.4E+02
metamifop,ADDQHLREJDZPMT-CQSZACIVSA-N,1.6E+01
cyhalothrin,ZXQYGBMAQZUVMI-BWHPXCRDSA-N,7.0E-01
bifenthrin,OMFRMAHOUUJSGP-UNOMPAQXSA-N,9.9E+00
flucycloxuron,PCKNFPQPGUWFHO-UQRQXUALSA-N,3.8E+01
fluvalinate,INISTDXBRIBGOC-UHFFFAOYSA-N,6.6E+02
bromomethane,GZUXJHMPEANEGY-UHFFFAOYSA-N,1.7E-03
dibromomethane,FJBFPHVGVWTDIP-UHFFFAOYSA-N,3.1E-02
tribromomethane,DIKBFYAXUHHXCS-UHFFFAOYSA-N,1.7E-02
tetrabromomethane,HJUGFYREWKUQJT-UHFFFAOYSA-N,2.0E-02
bromoethane,RDHPKYGYEGBMSE-UHFFFAOYSA-N,1.3E-03
"1,1-dibromoethane",APQIUTYORBAGEZ-UHFFFAOYSA-N,7.6E-03
"1,2-dibromoethane",PAAZPARNPHGIKF-UHFFFAOYSA-N,1.7E-02
"1,2-dibromoethane-d4",PAAZPARNPHGIKF-LNLMKGTHSA-N,1.6E-02
"1,1,2,2-tetrabromoethane",QXSZNDIIPUOQMB-UHFFFAOYSA-N,1.0E-02
1-bromopropane,CYNYIHKIEHGYOZ-UHFFFAOYSA-N,1.1E-03
2-bromopropane,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,8.4E-04
"1,2-dibromopropane",XFNJYAKDBJUJAJ-UHFFFAOYSA-N,6.8E-03
"1,3-dibromopropane",VEFLKXRACNJHOV-UHFFFAOYSA-N,1.1E-03
1-bromobutane,MPPPKRYCTPRNTB-UHFFFAOYSA-N,4.6E-04
2-bromobutane,UPSXAPQYNGXVBF-UHFFFAOYSA-N,7.7E-04
1-bromo-2-methylpropane,HLVFKOKELQSXIQ-UHFFFAOYSA-N,4.2E-04
2-bromo-2-methylpropane,RKSOPLXZQNSWAS-UHFFFAOYSA-N,2.4E-04
1-bromo-3-methylbutane,YXZFFTJAHVMMLF-UHFFFAOYSA-N,4.9E-04
"1,4-dibromobutane",ULTHEAFYOOPTTB-UHFFFAOYSA-N,7.3E-02
1-bromopentane,YZWKKMVJZFACSU-UHFFFAOYSA-N,4.7E-04
1-bromo-2-methylbutane,XKVLZBNEPALHIO-UHFFFAOYSA-N,8.8E-04
1-bromohexane,MNDIARAMWBIKFW-UHFFFAOYSA-N,3.0E-04
1-bromo-3-methylpentane,MDCCBJLCTOTLKM-UHFFFAOYSA-N,5.8E-04
bromocyclohexane,AQNQQHJNRPDOQV-UHFFFAOYSA-N,7.0E-03
1-bromoheptane,LSXKDWGTSHCFPP-UHFFFAOYSA-N,2.3E-04
1-bromooctane,VMKOFRJSULQZRM-UHFFFAOYSA-N,2.4E-04
"1,8-dibromooctane",DKEGCUDAFWNSSO-UHFFFAOYSA-N,1.4E-02
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",PQRRSJBLKOPVJV-UHFFFAOYSA-N,1.7E+02
1-bromononane,AYMUQTNXKPEMLM-UHFFFAOYSA-N,7.9E-04
hexabromocyclododecane,DEIGXXQKDWULML-UHFFFAOYSA-N,2.1E-01
vinyl bromide,INLLPKCGLOXCIV-UHFFFAOYSA-N,7.0E-04
"1,2-dibromoethene",UWTUEMKLYAGTNQ-UHFFFAOYSA-N,1.2E-02
3-bromo-1-propene,BHELZAPQIKSEDF-UHFFFAOYSA-N,9.0E-04
3-bromo-1-propyne,YORCIIVHUBAYBQ-UHFFFAOYSA-N,8.8E-03
1-bromocyclohexene,QBUMXSSCYUMVAW-UHFFFAOYSA-N,2.0E-03
1-bromo-4-methylcyclohexene,inchikey,1.4E-03
bromobenzene,QARVLSVVCXYDNA-UHFFFAOYSA-N,5.0E-03
bromobenzene-d5,QARVLSVVCXYDNA-RALIUCGRSA-N,6.5E-03
"1,2-dibromobenzene",WQONPSCCEXUXTQ-UHFFFAOYSA-N,9.5E-03
"1,3-dibromobenzene",JSRLURSZEMLAFO-UHFFFAOYSA-N,5.0E-03
"1,4-dibromobenzene",SWJPEBQEEAHIGZ-UHFFFAOYSA-N,9.4E-03
"1,2,4-tribromobenzene",FWAJPSIPOULHHH-UHFFFAOYSA-N,3.1E-02
"1,3,5-tribromobenzene",YWDUZLFWHVQCHY-UHFFFAOYSA-N,2.9E-02
"1,2,4,5-tetrabromobenzene",QCKHVNQHBOGZER-UHFFFAOYSA-N,2.7E-03
hexabromobenzene,CAYGQBVSOZLICD-UHFFFAOYSA-N,9.3E-02
(bromomethyl)-benzene,AGEZXYOZHKGVCM-UHFFFAOYSA-N,1.4E-03
$p$-bromobenzyl bromide,YLRBJYMANQKEAW-UHFFFAOYSA-N,3.6E-02
1-bromo-2-methylbenzene,QSSXJPIWXQTSIX-UHFFFAOYSA-N,4.1E-03
1-bromo-3-methylbenzene,WJIFKOVZNJTSGO-UHFFFAOYSA-N,1.5E-03
1-bromo-4-methylbenzene,ZBTMRBYMKUEVEU-UHFFFAOYSA-N,3.4E-03
"3,5-dibromotoluene",DPKKOVGCHDUSAI-UHFFFAOYSA-N,1.7E-02
pentabromotoluene,OZHJEQVYCBTHJT-UHFFFAOYSA-N,4.0E-01
1-bromo-2-ethylbenzene,HVRUGFJYCAFAAN-UHFFFAOYSA-N,3.0E-03
1-bromo-4-ethylbenzene,URFPRAHGGBYNPW-UHFFFAOYSA-N,3.1E-03
1-(bromomethyl)-2-methylbenzene,WGVYCXYGPNNUQA-UHFFFAOYSA-N,1.3E-02
1-(bromomethyl)-3-methylbenzene,FWLWTILKTABGKQ-UHFFFAOYSA-N,1.3E-02
1-(bromomethyl)-4-methylbenzene,WZRKSPFYXUXINF-UHFFFAOYSA-N,1.3E-02
(2-bromoethyl)-benzene,WMPPDTMATNBGJN-UHFFFAOYSA-N,6.5E-03
2-bromostyrene,SSZOCHFYWWVSAI-UHFFFAOYSA-N,9.0E-03
(2-bromoethenyl)benzene,YMOONIIMQBGTDU-VOTSOKGWSA-N,1.8E-02
"2,3,4,5,6-pentabromoethylbenzene",FIAXCDIQXHJNIX-UHFFFAOYSA-N,1.2E-01
1-bromo-2-(2-propyl)-benzene,LECYCYNAEJDSIL-UHFFFAOYSA-N,1.7E-03
1-bromonaphthalene,DLKQHBOKULLWDQ-UHFFFAOYSA-N,8.2E-02
decabromobiphenyl,AQPHBYQUCKHJLT-UHFFFAOYSA-N,2.3E+02
"4-bromo-1,1'-biphenyl",PKJBWOWQJHHAHG-UHFFFAOYSA-N,6.0E-02
octabromobiphenyl,NDRKXFLZSRHAJE-UHFFFAOYSA-N,4.1E+03
hexabromobiphenyl,PTJQVJQAZSLKJO-UHFFFAOYSA-N,2.3E+00
"2,2',4,4',5,5'-hexabromo-1,1'-biphenyl",HMBBJSKXDBUNNT-UHFFFAOYSA-N,2.3E+00
"1,2-bis(pentabromophenyl) ethane",BZQKBFHEWDPQHD-UHFFFAOYSA-N,1.5E+02
"1,3,6,8-tetrabromopyrene",ZKBKRTZIYOKNRG-UHFFFAOYSA-N,4.7E+01
6-bromobenzo[$a$]pyrene,MJSYSGSEEADMTK-UHFFFAOYSA-N,1.2E+02
bromomethanol,OEDMOCYNWLHUDP-UHFFFAOYSA-N,2.0E+01
dibromomethanol,WICMSCLXMMZMFF-UHFFFAOYSA-N,1.7E+02
tribromomethanol,ACRXLLXANWELLX-UHFFFAOYSA-N,1.5E+03
formyl bromide,AIFARXRIYKCEEV-UHFFFAOYSA-N,7.3E-01
carbonyl bromide,MOIPGXQKZSZOQX-UHFFFAOYSA-N,2.1E-01
bromomethyl peroxide,inchikey,2.5E+01
dibromomethyl peroxide,inchikey,2.2E+02
tribromomethyl peroxide,inchikey,1.9E+03
bromoethanoic acid,KDPAWGWELVVRCH-UHFFFAOYSA-N,1.5E+03
dibromoethanoic acid,SIEILFNCEFEENQ-UHFFFAOYSA-N,2.3E+03
tribromoethanoic acid,QIONYIKHPASLHO-UHFFFAOYSA-N,3.0E+03
"2,3-dibromopropyl alcohol",QWVCIORZLNBIIC-UHFFFAOYSA-N,1.6E+02
bromoacetone,VQFAIAKCILWQPZ-UHFFFAOYSA-N,1.7E+00
(bromomethyl)oxirane,GKIPXFAANLTWBM-UHFFFAOYSA-N,4.1E+00
"2,3-dibromobutane-1,4-diol",OXYNQEOLHRWEPE-QWWZWVQMSA-N,3.2E+03
"bromoacetic acid, ethyl ester",PQJJJMRNHATNKG-UHFFFAOYSA-N,3.7E-01
brometone,JUGRTVJQTFZHOM-UHFFFAOYSA-N,1.0E+03
"2,2-bis(bromomethyl)-1,3-propanediol",CHUGKEQJSLOLHL-UHFFFAOYSA-N,2.4E+03
trisbromoneopentyl alcohol,HQWKMYFWGMCJSW-UHFFFAOYSA-N,7.7E+02
2-bromophenol,VADKRMSMGWJZCF-UHFFFAOYSA-N,4.5E+01
3-bromophenol,MNOJRWOWILAHAV-UHFFFAOYSA-N,4.5E+01
4-bromophenol,GZFGOTFRPZRKDS-UHFFFAOYSA-N,6.7E+01
"2,4-dibromophenol",FAXWFCTVSHEODL-UHFFFAOYSA-N,1.1E+02
"2,6-dibromophenol",SSIZLKDLDKIHEV-UHFFFAOYSA-N,1.1E+02
"2,4,6-tribromophenol",BSWWXRFVMJHFBN-UHFFFAOYSA-N,2.1E+02
"2,3,4,6-tetrabromophenol",CXPJZISGVIVNEL-UHFFFAOYSA-N,7.0E+02
pentabromophenol,SVHOVVJFOWGYJO-UHFFFAOYSA-N,1.8E+03
1-bromo-2-methoxybenzene,HTDQSWDEWGSAMN-UHFFFAOYSA-N,2.9E-02
1-bromo-3-methoxybenzene,PLDWAJLZAAHOGG-UHFFFAOYSA-N,7.2E-03
1-bromo-4-methoxybenzene,QJPJQTDYNZXKQF-UHFFFAOYSA-N,1.1E-02
"1,5-dibromo-2-methoxybenzene",XGXUGXPKRBQINS-UHFFFAOYSA-N,8.1E-02
"1,3-dibromo-2-methoxybenzene",BMZVDHQOAJUZJL-UHFFFAOYSA-N,3.7E-02
"1,3,4-tribromo-2-methoxybenzene",XZYCSFIRWAPGJV-UHFFFAOYNA-N,5.2E-03
"1,3,5-tribromo-2-methoxybenzene",YXTRCOAFNXQTKL-UHFFFAOYSA-N,1.9E-02
pentabromomethoxybenzene,VEFNQGLEDJPUJF-UHFFFAOYSA-N,1.0E+00
"1,3,5-tribromo-2-methoxy-4-methylbenzene",NMPPAMFEYWGNCI-UHFFFAOYSA-N,4.4E-01
"4,5,6,7-tetrabromo-1,3-isobenzofurandione",QHWKHLYUUZGSCW-UHFFFAOYSA-N,6.1E+01
"allyl 2,4,6-tribromophenyl ether",RZLLIOPGUFOWOD-UHFFFAOYSA-N,3.8E-01
"2,4-dibromo-6-methylphenyl glycidyl ether",XQTJZNGNEJLXTR-UHFFFAOYSA-N,8.2E+01
"2-(2,4,6-tribromophenoxy)ethyl acrylate",AMBJXYFIMKHOQE-UHFFFAOYSA-N,2.9E+02
"1,2,3',4,4',5'-hexabromodiphenyl ether",NMUPLZRHSXJCJQ-UHFFFAOYSA-N,2.1E+01
heptabromodiphenyl oxide,NLBLNZDNOSSGPW-UHFFFAOYSA-N,5.2E+01
"2,2',3,4,4',5,5',6-octabromodiphenyl ether",RTUZOQFRIPIWPS-UHFFFAOYSA-N,3.7E+01
nonabromodiphenyl ether,CYRHBNRLQMLULE-UHFFFAOYSA-N,3.3E+02
"1,2,3-tribromo-4-(3-bromophenoxy)benzene",VIHUMJGEWQPWOT-UHFFFAOYSA-N,1.2E+00
"4,4'-methylenebis(2,6-dibromophenol)",WPZJSWWEEJJSIZ-UHFFFAOYSA-N,7.5E+07
"1,1'-[1,2-ethanediylbis(oxy)]bis pentabromobenzene",JJEPQBZQAGCZTH-UHFFFAOYSA-N,5.3E+04
"4,4'-dibromobenzil",NYCBYBDDECLFPE-UHFFFAOYSA-N,8.0E+03
"1,2-bis(2,4,6-tribromophenoxy)ethane",YATIGPZCMOYEGE-UHFFFAOYSA-N,1.8E+01
"2-ethylhexyl-2,3,4,5-tetrabromobenzoate",HVDXCGSGEQKWGB-UHFFFAOYSA-N,1.6E+00
tribromobisphenol A,WYBOEVJIVYIEJL-UHFFFAOYSA-N,1.1E+02
"4,4'-(1-methylethylidene)bis(2,6-dibromophenol)",VEORPZCZECFIRK-UHFFFAOYSA-N,2.4E+02
"4-[2-[2,6-bis(bromanyl)-4-oxidanyl-phenyl]propan-2-yl]-3,5-bis(bromanyl)phenol",KIZJVNGSIWXYTL-UHFFFAOYSA-N,4.2E+07
"2-(2-hydroxyethoxy)ethyl 2-hydroxypropyl 3,4,5,6-tetrabromophthalate",OQHHASWHOGRCRC-UHFFFAOYSA-N,3.6E+10
bromopropylate,FOANIXZHAMJWOI-UHFFFAOYSA-N,2.1E+01
"1,2,4,5-tetrabromo-3,6-bis(pentabromophenoxy)benzene",YMIUHIAWWDYGGU-UHFFFAOYSA-N,1.5E+06
"2,2-bis(3,5-dibromo-4-(2-hydroxyethoxy)phenyl)propane",RVHUMFJSCJBNGS-UHFFFAOYSA-N,5.6E+07
solvent red 43,DBZJJPROPLPMSN-UHFFFAOYSA-N,4.4E+12
"2,2-bis[4-(2,3-dibromopropoxy)-3,5-dibromophenyl]-propane",LXIZRZRTWSDLKK-UHFFFAOYSA-N,2.4E+05
"2,2-bis(4-allyloxy-3,5-dibromophenyl)propane",PWXTUWQHMIFLKL-UHFFFAOYSA-N,7.7E+01
AC1MJ2TG,UTMWVHZWNKBNKF-UHFFFAOYSA-N,1.3E+08
"tetrabromophenolphthalein, ethyl ester",SQFXATUXPUCFFO-UHFFFAOYSA-N,1.0E+11
"4,10-dibromodibenzo[$def,mno$]\+chrysene-6,12-dione",HTENFZMEHKCNMD-UHFFFAOYSA-N,5.8E+06
"bis(2-ethylhexyl)-3,4,5,6-tetrabromophthalate",UUEDINPOVKWVAZ-UHFFFAOYSA-N,4.0E+02
bromadiolone,OWNRRUFOJXFKCU-UHFFFAOYSA-N,1.1E+06
brodifacoum,VEUZZDOCACZPRY-UHFFFAOYSA-N,4.6E+02
4-bromodiphenyl ether,JDUYPUMQALQRCN-UHFFFAOYSA-N,5.0E-02
"4,4'-dibromodiphenyl ether",YAWIAFUBXXPJMQ-UHFFFAOYSA-N,8.3E-02
"2,4,4'-tribromodiphenyl ether",UPNBETHEXPIWQX-UHFFFAOYSA-N,1.1E-01
"2,2',4,4'-tetrabromodiphenyl ether",XYBSIYMGXVUVGY-UHFFFAOYSA-N,1.6E-01
"2,3',4,4'-tetrabromodiphenyl ether",DHUMTYRHKMCVAG-UHFFFAOYSA-N,2.0E+00
"3,3',4,4'-tetrabromodiphenyl ether",RYGLOWMCGZHYRQ-UHFFFAOYSA-N,8.3E-01
"2,2',3,4,4'-pentabromodiphenyl ether",DMLQSUZPTTUUDP-UHFFFAOYSA-N,9.1E+00
"2,2',4,4',5-pentabromodiphenyl ether",WHPVYXDFIXRKLN-UHFFFAOYSA-N,6.2E-01
"2,2',4,4',6-pentabromodiphenyl ether",NSKIRYMHNFTRLR-UHFFFAOYSA-N,3.3E-01
"2,3',4,4',5-pentabromodiphenyl ether",SFNAUTSNWPPDSY-UHFFFAOYSA-N,6.2E-01
