1,2
[13475-78-0],
3-ethyl-3-methylheptane,2.2 10−6×
C10H22,1.4×10−6
[17302-01-1],
4-ethyl-3-methylheptane,2.2 10−6×
C10H22,1.4×10−6
[52896-89-6],
3-ethyl-5-methylheptane,1.3 10−6×
C10H22,1.6 ×10−6
[52896-90-9],
3-ethyl-4-methylheptane,2.2×10−6
C10H22,1.4×10−6
[52896-91-0],
4-ethyl-4-methylheptane,2.4 10−6×
C10H22,1.4 ×10−6
[17302-04-4],
4-propylheptane,1.6 ×10−6
C 10 H22,1.7 ×10−6
[3178-29-8],
4-(1-methylethyl)-heptane,2.1 10−6×
C10H22,1.5×10−6
(4-isopropylheptane),
[52896-87-4],
"2,2,3,3-tetramethylhexane",1.8×10−6
C10H22,1.2×10−6
[13475-81-5],
"2,2,3,4-tetramethylhexane",1.2×10−6
C10H22,1.2×10−6
[52897-08-2],
"2,2,3,5-tetramethylhexane",8.4×10−7
C 10 H22,1.6 ×10−6
[52897-09-3],
"2,2,4,4-tetramethylhexane",8.8×10−7
C10H22,1.1×10−6
[51750-65-3],
"2,2,4,5-tetramethylhexane",8.0 10−7×
C10H22,1.5 ×10−6
[16747-42-5],
"2,2,5,5-tetramethylhexane",4.6 10−7×
C10H22,1.8×10−6
[1071-81-4],
"2,3,3,4-tetramethylhexane",1.4 10−6×
C10H22,1.2×10−6
[52897-10-6],
"2,3,3,5-tetramethylhexane",9.2 −7×10
C10H22,1.4×10−6
[52897-11-7],
"2,3,4,4-tetramethylhexane",1.3 10−6×
C10H22,1.2×10−6
[52897-12-8],
"2,3,4,5-tetramethylhexane",1.2×10−6
C10H22,1.4×10−6
[52897-15-1],
"3,3,4,4-tetramethylhexane",2.2×10−6
C10H22,1.0×10−6
[5171-84-6],
"3-ethyl-2,2-dimethylhexane",1.8×10−6
C10H22,1.8×10−6
[20291-91-2],1.4 ×10−6
"4-ethyl-2,2-dimethylhexane",1.1×10−6
C10H22,1.6×10−6
[52896-99-8],
"3-ethyl-2,3-dimethylhexane",2.0 10−6×
C 10 H22,1.3 ×10−6
[52897-00-4],
"4-ethyl-2,3-dimethylhexane",1.6 ×10−6
C10H22,1.4×10−6
[52897-01-5],
"3-ethyl-2,4-dimethylhexane",1.6×10
C10H22,1.4 ×10−6
[7220-26-0],
"4-ethyl-2,4-dimethylhexane",1.3×10−6
C10H22,1.3×10−6
[52897-03-7],
"3-ethyl-2,5-dimethylhexane",1.1×10−6
C10H22,1.5×10−6
[52897-04-8],
"4-ethyl-3,3-dimethylhexane",1.9 10−6×
C10H22,1.3 ×10−6
[52897-05-9],
"3-ethyl-3,4-dimethylhexane",2.2 10−6×
C10H22,1.3×10−6
[52897-06-0],
"3,3-diethylhexane",3.4 10−6×
C10H22,1.3×10−6
[17302-02-2],
"3,4-diethylhexane",1.8×10−6
C 10 H22,1.4 ×10−6
[19398-77-7],
2-methyl-3-(1-methylethyl)-hexane,1.5×10−6
C10H22,1.1×10−6
(3-isopropyl-2-methylhexane),
[62016-13-1],
"2,2,3,3,4-pentamethylpentane",1.3×10−6
C10H22,1.0×10−6
[16747-44-7],
"2,2,3,4,4-pentamethylpentane",8.6 10−7×
C 10 H22,1.0 ×10−6
[16747-45-8],
"3-ethyl-2,2,3-trimethylpentane",2.1 ×10−6
